author;Year;Journal;Disease;Disease_Other;Disease_COPD;Geography;Continent;Sample;Sequencing;Sequencing strategy;Rarefaction;Taxonomic study level;ASV_method;Total_sample_size;Control_group_size;Case_group_size;Shannon_control_mean_healthy;Shannon_control_mean_moderate_COPD;Shannon_control_mean_moderate_other;Shannon_exa_group_mean;Shannon_case_group_mean;Difference_Shannon_healthy_stable_COPD;Difference_Shannon_healthy_stable_other;Difference_Shannon_healthy_exa;Difference_Shannon_heathy_diseased;Difference_Shannon_stable_exa;Chao1_control_mean_healthy;Chao1_control_mean_moderate_COPD;Chao1_control_mean_moderate_other;Chao1_case_group_mean_exa;Chao1_case_group_mean_diseased;Difference_Chao1_healthy_stable_COPD;Difference_Chao1_healthy_stable_other;Difference_Chao1_healthy_exa;Difference_Chao1_stable_exa;Difference_Chao1_healthy_diseased;Simpson_control_mean_healthy;Simpson_control_mean_moderate;Simpson_case_exa;Simpson_case_diseased;Difference_simpson_healthy_stable;Difference_simpson_healthy_exa;Difference_simpson_healthy_diseased;Difference_simpson_stable_exa;Expertise Laurence;Expertise Raphaël ;Somme_expertise
Byun et al.;2017;general;Bronchiectasis;Bronchiectasis;Bronchiectasis;Seoul, Korea;Asia;BAL;Other;16S;NO/NC;Genus;NO ASV;14;8;6;;4.59;4.59;0.53;;;;;;0.4176104;;;;;;;;;;;;3.60;1.77;;;;;0.3616679;1;2;3
Carmody et al.;2013;respiratory;Cystic fibrosis;Cystic fibrosis;Cystic fibrosis;Ann Arbor, Michigan, USA;America;Sputum;454 pyrosequencing;16S;YES;OTU;NO ASV;68;34;34;;1.31;1.31;1.41;;;;;;-0.1593664;;;;;;;;;;;;;;;;;;;3;3;6
Coburn et al.;2015;general;Cystic fibrosis;Cystic fibrosis;Cystic fibrosis;Toronto, Canada;America;Sputum;Illumina;16S;YES;OTU;NO ASV;127;100;27;;4.7;4.7;3.4;;;;;;0.9117977;;;;;;;;;;;;;;;;;;;3;3;6
Denner et al.;2016;respiratory;Asthma;Asthma;Asthma;Chicago, USA;America;BAL;Illumina;16S;YES;Genus;NO ASV;58;19;39;3.54;;;;3.46;;;;0.3529542;;158.05;;;;142.77;;;;;0.4456475;0.92;;;0.91;;;0.4932685;;3;3;6
Einarsson et al.;2016;respiratory;COPD;COPD;COPD;Belfast, Northern Ireland;Europe;LA;Illumina;16S;NO/NC;OTU;NO ASV;37;19;18;2.592632;1.903889;1.903889;;;1.220031;1.220031;;;;;;;;;;;;;;;;;;;;;;3;3;6
Erb-Downward et al.;2011;general;COPD;COPD;COPD;Ann Arbor, Michigan, USA;America;BAL;454 pyrosequencing;16S;NO/NC;OTU;NO ASV;14;10;4;3.564;3.1025;3.1025;;;0.31929;0.31929;;;;;;;;;;;;;;;;;;;;;;2;3;5
Feigelman et al.;2017;microbiology;COPD;COPD;COPD;Saint Gallen, Switzerland;Europe;Sputum;Illumina;whole genome shotgun;NO/NC;Genus;ASV;11;7;4;3.8;;;;2.35;;;;0.5381861;;;;;;;;;;;;;;;;;;;;2;3;5
Filkins et al.;2012;microbiology;Cystic fibrosis;Cystic fibrosis;Cystic fibrosis;New Hampshire, USA;America;Sputum;454 pyrosequencing;16S;NO/NC;Genus;NO ASV;35;22;13;;;;;;;;;;;;;;;;;;;;;;0.64;0.40;;;;;0.6739083;3;3;6
Goleva et al.;2013;respiratory;Asthma;Asthma;Asthma;Denver, Colorado;America;BAL;454 pyrosequencing;16S;YES;Genus;NO ASV;51;12;39;2.72;2.99153846153846;2.99153846153846;;;-0.185684;-0.185684;;;;29.38;29.3535897435897;29.3535897435897;;;0.0009111819;0.0009111819;;;;;;;;;;;;3;3;6
Huang et al.;2020;respiratory;Asthma;Asthma;Asthma;Shangai, China;Asia;Sputum (induced);Illumina;16S;YES;OTU;NO ASV;38;16;22;3.32;;;;2.98;;;;0.4023215;;567.87;;;;270.54;;;;;1.270204;0.11;;;0.14;;;-0.383994;;3;3;6
